resource,region,model_year,timeslice,season,daypart,season_name,daypart_name,cf_mean,cf_std,cf_max,cf_min,n_hours,param_lat,param_lon,utc_offset,yearsplit
solar,BGDXX,2022,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.019398,0.051287,0.209,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2022,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.503617,0.165563,0.746,0.07,488,23.7231,90.4086,6.0,0.055708
solar,BGDXX,2022,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.018121,0.049386,0.205,0.0,488,23.7231,90.4086,6.0,0.055708
solar,BTNXX,2014,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.035601,0.095355,0.39,0.0,466,27.473,89.639,6.0,0.082192
solar,BTNXX,2014,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.695178,0.160963,0.9,0.112,472,27.473,89.639,6.0,0.082192
solar,BTNXX,2014,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.026561,0.071582,0.317,0.0,472,27.473,89.639,6.0,0.082192
solar,BTNXX,2014,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.047587,0.102012,0.364,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2014,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.642249,0.168186,0.9,0.169,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2014,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.035628,0.077546,0.342,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2014,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.03018,0.067149,0.334,0.0,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2014,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.439035,0.164751,0.819,0.109,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2014,S3D3,S3,D3,SW Monsoon (Jun-Sep),Evening (16-24),0.026974,0.058383,0.29,0.0,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2014,S4D1,S4,D1,Post-monsoon (Oct-Nov),Night (00-08),0.024926,0.066968,0.311,0.0,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2014,S4D2,S4,D2,Post-monsoon (Oct-Nov),Day (08-16),0.613342,0.170908,0.882,0.152,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2014,S4D3,S4,D3,Post-monsoon (Oct-Nov),Evening (16-24),0.022236,0.061193,0.316,0.0,488,27.473,89.639,6.0,0.055708
solar,BTNXX,2015,S1D1,S1,D1,Winter (Dec-Feb),Night (00-08),0.029507,0.082168,0.357,0.0,720,27.473,89.639,6.0,0.082192
solar,BTNXX,2015,S1D2,S1,D2,Winter (Dec-Feb),Day (08-16),0.65649,0.173578,0.9,0.148,720,27.473,89.639,6.0,0.082192
solar,BTNXX,2015,S1D3,S1,D3,Winter (Dec-Feb),Evening (16-24),0.021642,0.060773,0.295,0.0,720,27.473,89.639,6.0,0.082192
solar,BTNXX,2015,S2D1,S2,D1,Pre-monsoon (Mar-May),Night (00-08),0.04249,0.093884,0.377,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2015,S2D2,S2,D2,Pre-monsoon (Mar-May),Day (08-16),0.596935,0.179782,0.9,0.142,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2015,S2D3,S2,D3,Pre-monsoon (Mar-May),Evening (16-24),0.032827,0.072827,0.321,0.0,736,27.473,89.639,6.0,0.084018
solar,BTNXX,2015,S3D1,S3,D1,SW Monsoon (Jun-Sep),Night (00-08),0.028686,0.065095,0.326,0.0,976,27.473,89.639,6.0,0.111416
solar,BTNXX,2015,S3D2,S3,D2,SW Monsoon (Jun-Sep),Day (08-16),0.424372,0.162502,0.791,0.088,976,27.473,89.639,6.0,0.111416
