REGION,TIMESLICE,FUEL,YEAR,VALUE
GLOBAL,S4D4,ELCBGDXX03,2029,9.159501779
GLOBAL,S4D5,ELCBGDXX03,2029,8.021769903000001
GLOBAL,S1D1,ELCBGDXX03,2030,35.39539944
GLOBAL,S1D2,ELCBGDXX03,2030,72.68077224000001
GLOBAL,S1D3,ELCBGDXX03,2030,21.944390040000002
GLOBAL,S1D4,ELCBGDXX03,2030,14.79103704
GLOBAL,S1D5,ELCBGDXX03,2030,12.039279120000002
GLOBAL,S2D1,ELCBGDXX03,2030,43.800842880000005
GLOBAL,S2D2,ELCBGDXX03,2030,76.15835028000001
GLOBAL,S2D3,ELCBGDXX03,2030,22.39557552
GLOBAL,S2D4,ELCBGDXX03,2030,15.9166332
GLOBAL,S2D5,ELCBGDXX03,2030,13.98269124
GLOBAL,S3D1,ELCBGDXX03,2030,63.590771520000004
GLOBAL,S3D2,ELCBGDXX03,2030,105.04504404000002
GLOBAL,S3D3,ELCBGDXX03,2030,30.11646168
GLOBAL,S3D4,ELCBGDXX03,2030,22.237965000000003
GLOBAL,S3D5,ELCBGDXX03,2030,20.09906172
GLOBAL,S4D1,ELCBGDXX03,2030,26.44609824
GLOBAL,S4D2,ELCBGDXX03,2030,46.97808156
GLOBAL,S4D3,ELCBGDXX03,2030,14.474463120000001
GLOBAL,S4D4,ELCBGDXX03,2030,9.780645960000001
GLOBAL,S4D5,ELCBGDXX03,2030,8.56575972
GLOBAL,S1D1,ELCBGDXX03,2031,37.290542508
GLOBAL,S1D2,ELCBGDXX03,2031,76.572251468
GLOBAL,S1D3,ELCBGDXX03,2031,23.119338178
GLOBAL,S1D4,ELCBGDXX03,2031,15.582979828000001
GLOBAL,S1D5,ELCBGDXX03,2031,12.683887084000002
GLOBAL,S2D1,ELCBGDXX03,2031,46.14603081600001
GLOBAL,S2D2,ELCBGDXX03,2031,80.23602624600001
GLOBAL,S2D3,ELCBGDXX03,2031,23.594681064
GLOBAL,S2D4,ELCBGDXX03,2031,16.76884274
GLOBAL,S2D5,ELCBGDXX03,2031,14.731353517999999
GLOBAL,S3D1,ELCBGDXX03,2031,66.995553264
GLOBAL,S3D2,ELCBGDXX03,2031,110.66937347800001
GLOBAL,S3D3,ELCBGDXX03,2031,31.728959476
GLOBAL,S3D4,ELCBGDXX03,2031,23.42863175
GLOBAL,S3D5,ELCBGDXX03,2031,21.175207154
GLOBAL,S4D1,ELCBGDXX03,2031,27.862077168
GLOBAL,S4D2,ELCBGDXX03,2031,49.493385442
GLOBAL,S4D3,ELCBGDXX03,2031,15.249455884000001
GLOBAL,S4D4,ELCBGDXX03,2031,10.304322022
GLOBAL,S4D5,ELCBGDXX03,2031,9.024388254
GLOBAL,S1D1,ELCBGDXX03,2032,39.28714569
GLOBAL,S1D2,ELCBGDXX03,2032,80.67206849
GLOBAL,S1D3,ELCBGDXX03,2032,24.357189415
GLOBAL,S1D4,ELCBGDXX03,2032,16.41732079
GLOBAL,S1D5,ELCBGDXX03,2032,13.363005370000002
GLOBAL,S2D1,ELCBGDXX03,2032,48.616772880000006
GLOBAL,S2D2,ELCBGDXX03,2032,84.53200840500001
GLOBAL,S2D3,ELCBGDXX03,2032,24.857983020000002
GLOBAL,S2D4,ELCBGDXX03,2032,17.66667695
GLOBAL,S2D5,ELCBGDXX03,2032,15.520096865
GLOBAL,S3D1,ELCBGDXX03,2032,70.58261652
GLOBAL,S3D2,ELCBGDXX03,2032,116.59481216500002
GLOBAL,S3D3,ELCBGDXX03,2032,33.42778543
GLOBAL,S3D4,ELCBGDXX03,2032,24.683043125000005
GLOBAL,S3D5,ELCBGDXX03,2032,22.308966095000002
GLOBAL,S4D1,ELCBGDXX03,2032,29.353863240000003
GLOBAL,S4D2,ELCBGDXX03,2032,52.143350935
GLOBAL,S4D3,ELCBGDXX03,2032,16.065939370000002
GLOBAL,S4D4,ELCBGDXX03,2032,10.856034085000001
GLOBAL,S4D5,ELCBGDXX03,2032,9.507570345000001
GLOBAL,S1D1,ELCBGDXX03,2033,41.390650889999996
GLOBAL,S1D2,ELCBGDXX03,2033,84.99139769
GLOBAL,S1D3,ELCBGDXX03,2033,25.661317614999998
GLOBAL,S1D4,ELCBGDXX03,2033,17.29633399
GLOBAL,S1D5,ELCBGDXX03,2033,14.078484970000002
GLOBAL,S2D1,ELCBGDXX03,2033,51.21980328
GLOBAL,S2D2,ELCBGDXX03,2033,89.05800580500001
GLOBAL,S2D3,ELCBGDXX03,2033,26.188924619999998
GLOBAL,S2D4,ELCBGDXX03,2033,18.61258295
GLOBAL,S2D5,ELCBGDXX03,2033,16.351071065
GLOBAL,S3D1,ELCBGDXX03,2033,74.36173812
GLOBAL,S3D2,ELCBGDXX03,2033,122.83751036500001
GLOBAL,S3D3,ELCBGDXX03,2033,35.21756983
GLOBAL,S3D4,ELCBGDXX03,2033,26.004618125
GLOBAL,S3D5,ELCBGDXX03,2033,23.503428695
GLOBAL,S4D1,ELCBGDXX03,2033,30.925522439999998
GLOBAL,S4D2,ELCBGDXX03,2033,54.935200734999995
GLOBAL,S4D3,ELCBGDXX03,2033,16.92613897
GLOBAL,S4D4,ELCBGDXX03,2033,11.437285885
GLOBAL,S4D5,ELCBGDXX03,2033,10.016622945
GLOBAL,S1D1,ELCBGDXX03,2034,43.606761641999995
GLOBAL,S1D2,ELCBGDXX03,2034,89.54195068199999
GLOBAL,S1D3,ELCBGDXX03,2034,27.035258846999998
GLOBAL,S1D4,ELCBGDXX03,2034,18.222402822
GLOBAL,S1D5,ELCBGDXX03,2034,14.832265866
GLOBAL,S2D1,ELCBGDXX03,2034,53.962179984
GLOBAL,S2D2,ELCBGDXX03,2034,93.826290429
GLOBAL,S2D3,ELCBGDXX03,2034,27.591114635999997
GLOBAL,S2D4,ELCBGDXX03,2034,19.60912551
GLOBAL,S2D5,ELCBGDXX03,2034,17.226529257
GLOBAL,S3D1,ELCBGDXX03,2034,78.343164936
GLOBAL,S3D2,ELCBGDXX03,2034,129.414394797
GLOBAL,S3D3,ELCBGDXX03,2034,37.103165573999995
GLOBAL,S3D4,ELCBGDXX03,2034,27.396940125
GLOBAL,S3D5,ELCBGDXX03,2034,24.761833670999998
GLOBAL,S4D1,ELCBGDXX03,2034,32.581316232
GLOBAL,S4D2,ELCBGDXX03,2034,57.876504782999994
GLOBAL,S4D3,ELCBGDXX03,2034,17.832387066
GLOBAL,S4D4,ELCBGDXX03,2034,12.049653453
GLOBAL,S4D5,ELCBGDXX03,2034,10.552926321
GLOBAL,S1D1,ELCBGDXX03,2035,45.941547762
GLOBAL,S1D2,ELCBGDXX03,2035,94.336191202
GLOBAL,S1D3,ELCBGDXX03,2035,28.482776267
GLOBAL,S1D4,ELCBGDXX03,2035,19.198063742
GLOBAL,S1D5,ELCBGDXX03,2035,15.626412626
GLOBAL,S2D1,ELCBGDXX03,2035,56.851414224
GLOBAL,S2D2,ELCBGDXX03,2035,98.849922369
GLOBAL,S2D3,ELCBGDXX03,2035,29.068393595999996
GLOBAL,S2D4,ELCBGDXX03,2035,20.659034109999997
GLOBAL,S2D5,ELCBGDXX03,2035,18.148869277
GLOBAL,S3D1,ELCBGDXX03,2035,82.53780189599999
GLOBAL,S3D2,ELCBGDXX03,2035,136.343479217
GLOBAL,S3D3,ELCBGDXX03,2035,39.089737213999996
GLOBAL,S3D4,ELCBGDXX03,2035,28.863822625
GLOBAL,S3D5,ELCBGDXX03,2035,26.087627730999998
GLOBAL,S4D1,ELCBGDXX03,2035,34.325779751999995
GLOBAL,S4D2,ELCBGDXX03,2035,60.975319162999995
GLOBAL,S4D3,ELCBGDXX03,2035,18.787165826
GLOBAL,S4D4,ELCBGDXX03,2035,12.694814032999998
GLOBAL,S4D5,ELCBGDXX03,2035,11.117949381
GLOBAL,S1D1,ELCBGDXX03,2036,48.401340696
GLOBAL,S1D2,ELCBGDXX03,2036,99.387120216
GLOBAL,S1D3,ELCBGDXX03,2036,30.007795235999996
GLOBAL,S1D4,ELCBGDXX03,2036,20.225962536
GLOBAL,S1D5,ELCBGDXX03,2036,16.463078808000002
GLOBAL,S2D1,ELCBGDXX03,2036,59.895340992
GLOBAL,S2D2,ELCBGDXX03,2036,104.142524652
GLOBAL,S2D3,ELCBGDXX03,2036,30.624767568
GLOBAL,S2D4,ELCBGDXX03,2036,21.76515588
GLOBAL,S2D5,ELCBGDXX03,2036,19.120592316
GLOBAL,S3D1,ELCBGDXX03,2036,86.95702396799999
GLOBAL,S3D2,ELCBGDXX03,2036,143.643553836
GLOBAL,S3D3,ELCBGDXX03,2036,41.182671911999996
GLOBAL,S3D4,ELCBGDXX03,2036,30.409243500000002
GLOBAL,S3D5,ELCBGDXX03,2036,27.484406147999998
GLOBAL,S4D1,ELCBGDXX03,2036,36.163643616
GLOBAL,S4D2,ELCBGDXX03,2036,64.24004720399999
GLOBAL,S4D3,ELCBGDXX03,2036,19.793064408
GLOBAL,S4D4,ELCBGDXX03,2036,13.374517164
GLOBAL,S4D5,ELCBGDXX03,2036,11.713224348
GLOBAL,S1D1,ELCBGDXX03,2037,50.992785846
GLOBAL,S1D2,ELCBGDXX03,2037,104.70838336599999
GLOBAL,S1D3,ELCBGDXX03,2037,31.614435760999996
GLOBAL,S1D4,ELCBGDXX03,2037,21.308876186
GLOBAL,S1D5,ELCBGDXX03,2037,17.344524758000002
GLOBAL,S2D1,ELCBGDXX03,2037,63.102183792
GLOBAL,S2D2,ELCBGDXX03,2037,109.718395827
