REGION,STORAGE,SEASON,YEAR,VALUE
GLOBAL,SDSINDSO01,4,2050,15.472076152515518
GLOBAL,SDSINDWE01,1,2030,4.351366141513252e-09
GLOBAL,SDSINDWE01,1,2031,-4.351366141459043e-09
GLOBAL,SDSINDWE01,1,2035,-6.616065805110985e-09
GLOBAL,SDSINDWE01,1,2036,4.351366141513252e-09
GLOBAL,SDSINDWE01,1,2041,-1.4525579729914723e-10
GLOBAL,SDSINDWE01,1,2046,50.78698746805088
GLOBAL,SDSINDWE01,1,2047,50.78698746805088
GLOBAL,SDSINDWE01,1,2048,50.78698746805088
GLOBAL,SDSINDWE01,1,2049,50.78698746805088
GLOBAL,SDSINDWE01,1,2050,50.78698746805088
GLOBAL,SDSINDWE01,2,2030,4.351366141513252e-09
GLOBAL,SDSINDWE01,2,2035,-6.616065805110985e-09
GLOBAL,SDSINDWE01,2,2036,4.351366141513252e-09
GLOBAL,SDSINDWE01,2,2039,1.452557856710789e-10
GLOBAL,SDSINDWE01,2,2046,50.786990211044
GLOBAL,SDSINDWE01,2,2047,50.78698746805088
GLOBAL,SDSINDWE01,2,2048,50.78698746805088
GLOBAL,SDSINDWE01,2,2049,50.78698746805088
GLOBAL,SDSINDWE01,2,2050,50.78699002543186
GLOBAL,SDSINDWE01,3,2031,-4.351366141513252e-09
GLOBAL,SDSINDWE01,3,2035,-9.937733277764226e-09
GLOBAL,SDSINDWE01,3,2037,-4.351366141513252e-09
GLOBAL,SDSINDWE01,3,2038,-4.351366141513252e-09
GLOBAL,SDSINDWE01,3,2039,-4.206110355842174e-09
GLOBAL,SDSINDWE01,3,2041,-4.351366141513252e-09
GLOBAL,SDSINDWE01,3,2044,-4.351366141513252e-09
GLOBAL,SDSINDWE01,3,2045,-4.351366141513252e-09
GLOBAL,SDSINDWE01,3,2046,50.78688844708795
GLOBAL,SDSINDWE01,3,2047,50.7868472687775
GLOBAL,SDSINDWE01,3,2048,50.78677771863916
GLOBAL,SDSINDWE01,3,2049,50.786777075934346
GLOBAL,SDSINDWE01,3,2050,50.78685872600616
GLOBAL,SDSINDWE01,4,2030,4.351366141459043e-09
GLOBAL,SDSINDWE01,4,2031,-4.351366141513252e-09
GLOBAL,SDSINDWE01,4,2035,-6.61606580513809e-09
GLOBAL,SDSINDWE01,4,2036,4.351366141459043e-09
GLOBAL,SDSINDWE01,4,2041,-1.4525579736147529e-10
GLOBAL,SDSINDWE01,4,2046,50.78688844708795
GLOBAL,SDSINDWE01,4,2047,50.7868472687775
GLOBAL,SDSINDWE01,4,2048,50.78677771863916
GLOBAL,SDSINDWE01,4,2049,50.786803397676564
GLOBAL,SDSINDWE01,4,2050,50.78685872600616
