REGION,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,DSPTRNINDSO,ELCINDSO03,2041,3454.182735761395
GLOBAL,DSPTRNINDSO,ELCINDSO03,2042,3810.0459836727814
GLOBAL,DSPTRNINDSO,ELCINDSO03,2043,3945.808542829677
GLOBAL,DSPTRNINDSO,ELCINDSO03,2044,4054.937866549584
GLOBAL,DSPTRNINDSO,ELCINDSO03,2045,4195.663846124797
GLOBAL,DSPTRNINDSO,ELCINDSO03,2046,4592.5345205920785
GLOBAL,DSPTRNINDSO,ELCINDSO03,2047,4695.612438617
GLOBAL,DSPTRNINDSO,ELCINDSO03,2048,4796.804558587679
GLOBAL,DSPTRNINDSO,ELCINDSO03,2049,4956.08892012626
GLOBAL,DSPTRNINDSO,ELCINDSO03,2050,5134.574041504751
GLOBAL,DSPTRNINDWE,ELCINDWE03,2023,1798.9286172277489
GLOBAL,DSPTRNINDWE,ELCINDWE03,2024,1905.4430105026534
GLOBAL,DSPTRNINDWE,ELCINDWE03,2025,2022.0251280329883
GLOBAL,DSPTRNINDWE,ELCINDWE03,2026,2153.45996841162
GLOBAL,DSPTRNINDWE,ELCINDWE03,2027,2280.2050276127734
GLOBAL,DSPTRNINDWE,ELCINDWE03,2028,2411.446716143591
GLOBAL,DSPTRNINDWE,ELCINDWE03,2029,2573.2704886826364
GLOBAL,DSPTRNINDWE,ELCINDWE03,2030,2668.549923663684
GLOBAL,DSPTRNINDWE,ELCINDWE03,2031,2770.4764030262677
GLOBAL,DSPTRNINDWE,ELCINDWE03,2032,2918.7048105174586
GLOBAL,DSPTRNINDWE,ELCINDWE03,2033,3079.3632493179102
GLOBAL,DSPTRNINDWE,ELCINDWE03,2034,3231.9766422666703
GLOBAL,DSPTRNINDWE,ELCINDWE03,2035,3374.1374557080007
GLOBAL,DSPTRNINDWE,ELCINDWE03,2036,3511.3138809794455
GLOBAL,DSPTRNINDWE,ELCINDWE03,2037,3661.3971192928525
GLOBAL,DSPTRNINDWE,ELCINDWE03,2038,3973.4029788585653
GLOBAL,DSPTRNINDWE,ELCINDWE03,2039,4237.496268672159
GLOBAL,DSPTRNINDWE,ELCINDWE03,2040,4438.732879641119
GLOBAL,DSPTRNINDWE,ELCINDWE03,2041,4596.479751176416
GLOBAL,DSPTRNINDWE,ELCINDWE03,2042,4845.4470854747315
GLOBAL,DSPTRNINDWE,ELCINDWE03,2043,5031.367324268392
GLOBAL,DSPTRNINDWE,ELCINDWE03,2044,5056.144696577379
GLOBAL,DSPTRNINDWE,ELCINDWE03,2045,5320.716233229663
GLOBAL,DSPTRNINDWE,ELCINDWE03,2046,5550.104687402219
GLOBAL,DSPTRNINDWE,ELCINDWE03,2047,5652.079744482628
GLOBAL,DSPTRNINDWE,ELCINDWE03,2048,5766.928799075669
GLOBAL,DSPTRNINDWE,ELCINDWE03,2049,5997.985056687753
GLOBAL,DSPTRNINDWE,ELCINDWE03,2050,6120.675255221598
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2023,56.073943926
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2024,60.486939513
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2025,63.809936189999995
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2026,67.13993286
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2027,70.667929332
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2028,74.382925617
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2029,78.2999217
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2030,82.536917463
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2031,86.493913506
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2032,90.62590937399999
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2033,94.927905072
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2034,99.44590055399999
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2035,104.25989574
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2036,109.47989052
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2037,115.030884969
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2038,124.716979854
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2039,139.07237895
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2040,151.79797454368372
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2041,163.4091555844998
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2042,176.57401279458855
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2043,197.5502636805324
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2044,212.16417700549528
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2045,225.83858449117972
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2046,312.209569813279
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2047,331.3684005099846
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2048,343.2065539091863
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2049,358.77061139111305
GLOBAL,DSPTRNLKAXX,ELCLKAXX03,2050,399.8988425284294
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2023,6.77
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2024,7.096
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2025,7.443999999999999
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2026,7.816
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2027,8.213999999999999
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2028,8.64
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2029,9.167
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2030,9.727
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2031,10.323
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2032,10.958
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2033,11.634
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2034,12.249
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2035,12.901
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2036,13.594
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2037,14.331
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2038,15.115
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2039,15.949
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2040,16.836000000000002
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2041,17.341
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2042,17.861
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2043,18.397000000000002
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2044,18.948999999999998
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2045,19.517999999999997
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2046,20.006
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2047,20.506
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2048,21.018
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2049,21.544
GLOBAL,DSPTRNMDVXX,ELCMDVXX03,2050,22.082
GLOBAL,DSPTRNNPLXX,ELCNPLXX03,2023,55.82403920714288
GLOBAL,DSPTRNNPLXX,ELCNPLXX03,2024,60.97028284078974
GLOBAL,DSPTRNNPLXX,ELCNPLXX03,2025,76.56076124375991
GLOBAL,DSPTRNNPLXX,ELCNPLXX03,2026,83.63948946378586
