REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINGASBTN,1,2049,10.0
GLOBAL,MINGASBTN,1,2050,10.0
GLOBAL,MINGASIND,1,2023,13.6
GLOBAL,MINGASIND,1,2024,12.75
GLOBAL,MINGASIND,1,2025,11.9
GLOBAL,MINGASIND,1,2026,11.52
GLOBAL,MINGASIND,1,2027,11.14
GLOBAL,MINGASIND,1,2028,10.76
GLOBAL,MINGASIND,1,2029,10.38
GLOBAL,MINGASIND,1,2030,10.0
GLOBAL,MINGASIND,1,2031,10.0
GLOBAL,MINGASIND,1,2032,10.0
GLOBAL,MINGASIND,1,2033,10.0
GLOBAL,MINGASIND,1,2034,10.0
GLOBAL,MINGASIND,1,2035,10.0
GLOBAL,MINGASIND,1,2036,10.0
GLOBAL,MINGASIND,1,2037,10.0
GLOBAL,MINGASIND,1,2038,10.0
GLOBAL,MINGASIND,1,2039,10.0
GLOBAL,MINGASIND,1,2040,10.0
GLOBAL,MINGASIND,1,2041,10.0
GLOBAL,MINGASIND,1,2042,10.0
GLOBAL,MINGASIND,1,2043,10.0
GLOBAL,MINGASIND,1,2044,10.0
GLOBAL,MINGASIND,1,2045,10.0
GLOBAL,MINGASIND,1,2046,10.0
GLOBAL,MINGASIND,1,2047,10.0
GLOBAL,MINGASIND,1,2048,10.0
GLOBAL,MINGASIND,1,2049,10.0
GLOBAL,MINGASIND,1,2050,10.0
GLOBAL,MINGASINT,1,2023,12.322
GLOBAL,MINGASINT,1,2024,12.322
GLOBAL,MINGASINT,1,2025,12.322
GLOBAL,MINGASINT,1,2026,12.322
GLOBAL,MINGASINT,1,2027,12.322
GLOBAL,MINGASINT,1,2028,12.322
GLOBAL,MINGASINT,1,2029,12.322
GLOBAL,MINGASINT,1,2030,12.322
GLOBAL,MINGASINT,1,2031,12.322
GLOBAL,MINGASINT,1,2032,12.322
GLOBAL,MINGASINT,1,2033,12.322
GLOBAL,MINGASINT,1,2034,12.322
GLOBAL,MINGASINT,1,2035,12.322
GLOBAL,MINGASINT,1,2036,12.322
GLOBAL,MINGASINT,1,2037,12.322
GLOBAL,MINGASINT,1,2038,12.322
GLOBAL,MINGASINT,1,2039,12.322
GLOBAL,MINGASINT,1,2040,12.322
GLOBAL,MINGASINT,1,2041,12.322
GLOBAL,MINGASINT,1,2042,12.322
GLOBAL,MINGASINT,1,2043,12.322
GLOBAL,MINGASINT,1,2044,12.322
GLOBAL,MINGASINT,1,2045,12.322
GLOBAL,MINGASINT,1,2046,12.322
GLOBAL,MINGASINT,1,2047,12.322
GLOBAL,MINGASINT,1,2048,12.322
GLOBAL,MINGASINT,1,2049,12.322
GLOBAL,MINGASINT,1,2050,12.322
GLOBAL,MINGASLKA,1,2023,13.6
GLOBAL,MINGASLKA,1,2024,12.75
GLOBAL,MINGASLKA,1,2025,11.9
GLOBAL,MINGASLKA,1,2026,11.52
GLOBAL,MINGASLKA,1,2027,11.14
GLOBAL,MINGASLKA,1,2028,10.76
GLOBAL,MINGASLKA,1,2029,10.38
GLOBAL,MINGASLKA,1,2030,10.0
GLOBAL,MINGASLKA,1,2031,10.0
GLOBAL,MINGASLKA,1,2032,10.0
GLOBAL,MINGASLKA,1,2033,10.0
GLOBAL,MINGASLKA,1,2034,10.0
GLOBAL,MINGASLKA,1,2035,10.0
GLOBAL,MINGASLKA,1,2036,10.0
GLOBAL,MINGASLKA,1,2037,10.0
GLOBAL,MINGASLKA,1,2038,10.0
GLOBAL,MINGASLKA,1,2039,10.0
GLOBAL,MINGASLKA,1,2040,10.0
GLOBAL,MINGASLKA,1,2041,10.0
GLOBAL,MINGASLKA,1,2042,10.0
GLOBAL,MINGASLKA,1,2043,10.0
GLOBAL,MINGASLKA,1,2044,10.0
GLOBAL,MINGASLKA,1,2045,10.0
GLOBAL,MINGASLKA,1,2046,10.0
GLOBAL,MINGASLKA,1,2047,10.0
GLOBAL,MINGASLKA,1,2048,10.0
GLOBAL,MINGASLKA,1,2049,10.0
GLOBAL,MINGASLKA,1,2050,10.0
GLOBAL,MINGASMDV,1,2023,13.6
GLOBAL,MINGASMDV,1,2024,12.75
GLOBAL,MINGASMDV,1,2025,11.9
GLOBAL,MINGASMDV,1,2026,11.52
GLOBAL,MINGASMDV,1,2027,11.14
GLOBAL,MINGASMDV,1,2028,10.76
GLOBAL,MINGASMDV,1,2029,10.38
GLOBAL,MINGASMDV,1,2030,10.0
