REGION,TIMESLICE,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,S3D1,DSPTRNBGDXX,1,2027,337.9216323952543
GLOBAL,S3D2,DSPTRNBGDXX,1,2027,281.0102180109378
GLOBAL,S3D3,DSPTRNBGDXX,1,2027,306.11619038592
GLOBAL,S3D4,DSPTRNBGDXX,1,2027,368.6183670473689
GLOBAL,S3D5,DSPTRNBGDXX,1,2027,305.54944244049034
GLOBAL,S4D1,DSPTRNBGDXX,1,2027,303.25729556736
GLOBAL,S4D2,DSPTRNBGDXX,1,2027,221.56017891722783
GLOBAL,S4D3,DSPTRNBGDXX,1,2027,303.20622616896003
GLOBAL,S4D4,DSPTRNBGDXX,1,2027,294.63502896270006
GLOBAL,S4D5,DSPTRNBGDXX,1,2027,303.29842355712
GLOBAL,S1D1,DSPTRNBGDXX,2,2027,282.1604048708608
GLOBAL,S1D2,DSPTRNBGDXX,2,2027,250.2599522558725
GLOBAL,S1D3,DSPTRNBGDXX,2,2027,285.8180129845499
GLOBAL,S1D4,DSPTRNBGDXX,2,2027,287.10297907886064
GLOBAL,S1D5,DSPTRNBGDXX,2,2027,257.8102753331419
GLOBAL,S2D1,DSPTRNBGDXX,2,2027,272.3897531941853
GLOBAL,S2D2,DSPTRNBGDXX,2,2027,245.26403997123
GLOBAL,S2D3,DSPTRNBGDXX,2,2027,182.97892013534
GLOBAL,S2D4,DSPTRNBGDXX,2,2027,146.70733569436618
GLOBAL,S2D5,DSPTRNBGDXX,2,2027,127.48535917537812
GLOBAL,S3D1,DSPTRNBGDXX,2,2027,287.1029790788608
GLOBAL,S3D2,DSPTRNBGDXX,2,2027,282.1604048708607
GLOBAL,S3D3,DSPTRNBGDXX,2,2027,285.9046110788607
GLOBAL,S3D4,DSPTRNBGDXX,2,2027,287.1029790788607
GLOBAL,S3D5,DSPTRNBGDXX,2,2027,287.1029790788606
GLOBAL,S4D1,DSPTRNBGDXX,2,2027,216.6125497690369
GLOBAL,S4D2,DSPTRNBGDXX,2,2027,282.16040487086065
GLOBAL,S4D3,DSPTRNBGDXX,2,2027,265.87711772764123
GLOBAL,S4D4,DSPTRNBGDXX,2,2027,282.1604048708607
GLOBAL,S4D5,DSPTRNBGDXX,2,2027,201.85135019171315
GLOBAL,S1D1,DSPTRNBGDXX,1,2028,297.690302040061
GLOBAL,S1D2,DSPTRNBGDXX,1,2028,242.275719350909
GLOBAL,S1D3,DSPTRNBGDXX,1,2028,299.10437018496
GLOBAL,S1D4,DSPTRNBGDXX,1,2028,304.6139460436824
GLOBAL,S1D5,DSPTRNBGDXX,1,2028,299.27459993616014
GLOBAL,S2D1,DSPTRNBGDXX,1,2028,298.64537568864
GLOBAL,S2D2,DSPTRNBGDXX,1,2028,303.5457123081795
GLOBAL,S2D3,DSPTRNBGDXX,1,2028,394.325164041671
GLOBAL,S2D4,DSPTRNBGDXX,1,2028,475.83364746528
GLOBAL,S2D5,DSPTRNBGDXX,1,2028,418.5416065963933
GLOBAL,S3D1,DSPTRNBGDXX,1,2028,340.7229242898208
GLOBAL,S3D2,DSPTRNBGDXX,1,2028,279.6169020426236
GLOBAL,S3D3,DSPTRNBGDXX,1,2028,306.67933977552
GLOBAL,S3D4,DSPTRNBGDXX,1,2028,373.5013478914578
GLOBAL,S3D5,DSPTRNBGDXX,1,2028,306.15542493604755
GLOBAL,S4D1,DSPTRNBGDXX,1,2028,233.37969653041927
GLOBAL,S4D2,DSPTRNBGDXX,1,2028,216.1352781294667
GLOBAL,S4D3,DSPTRNBGDXX,1,2028,303.6639298968
GLOBAL,S4D4,DSPTRNBGDXX,1,2028,294.1656750613305
GLOBAL,S4D5,DSPTRNBGDXX,1,2028,228.0821344934401
GLOBAL,S1D1,DSPTRNBGDXX,2,2028,205.8842092505756
