REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,MINCOGINT,1,2039,10.008136119936063
GLOBAL,MINCOGINT,1,2040,10.10730210283177
GLOBAL,MINCOGINT,1,2041,10.206468085727478
GLOBAL,MINCOGINT,1,2042,10.305634068623187
GLOBAL,MINCOGINT,1,2043,10.404800051518894
GLOBAL,MINCOGINT,1,2044,10.503966034414603
GLOBAL,MINCOGINT,1,2045,10.60313201731031
GLOBAL,MINCOGINT,1,2046,10.702298000206016
GLOBAL,MINCOGINT,1,2047,10.801463983101725
GLOBAL,MINCOGINT,1,2048,10.900629965997432
GLOBAL,MINCOGINT,1,2049,10.99979594889314
GLOBAL,MINCOGINT,1,2050,11.098961931788848
GLOBAL,MINCOGLKA,1,2023,15.466129190065642
GLOBAL,MINCOGLKA,1,2024,13.474026432270888
GLOBAL,MINCOGLKA,1,2025,12.307259986102908
GLOBAL,MINCOGLKA,1,2026,16.00532637586862
GLOBAL,MINCOGLKA,1,2027,12.770059256789217
GLOBAL,MINCOGLKA,1,2028,12.221781683311635
GLOBAL,MINCOGLKA,1,2029,11.67350410983405
GLOBAL,MINCOGLKA,1,2030,11.125226536356468
GLOBAL,MINCOGLKA,1,2031,10.576948962878884
GLOBAL,MINCOGLKA,1,2032,10.0286713894013
GLOBAL,MINCOGLKA,1,2033,9.480393815923717
GLOBAL,MINCOGLKA,1,2034,8.932116242446135
GLOBAL,MINCOGLKA,1,2035,8.38383866896855
GLOBAL,MINCOGLKA,1,2036,8.470338591743623
GLOBAL,MINCOGLKA,1,2037,8.556838514518697
GLOBAL,MINCOGLKA,1,2038,8.643338437293767
GLOBAL,MINCOGLKA,1,2039,8.729838360068841
GLOBAL,MINCOGLKA,1,2040,8.816338282843912
GLOBAL,MINCOGLKA,1,2041,8.902838205618984
GLOBAL,MINCOGLKA,1,2042,8.989338128394056
GLOBAL,MINCOGLKA,1,2043,9.075838051169129
GLOBAL,MINCOGLKA,1,2044,9.162337973944203
GLOBAL,MINCOGLKA,1,2045,9.248837896719273
GLOBAL,MINCOGLKA,1,2046,9.335337819494345
GLOBAL,MINCOGLKA,1,2047,9.42183774226942
GLOBAL,MINCOGLKA,1,2048,9.50833766504449
GLOBAL,MINCOGLKA,1,2049,9.594837587819562
GLOBAL,MINCOGLKA,1,2050,9.681337510594634
GLOBAL,MINCOGMDV,1,2023,15.466129190065642
GLOBAL,MINCOGMDV,1,2024,13.474026432270888
GLOBAL,MINCOGMDV,1,2025,12.307259986102908
GLOBAL,MINCOGMDV,1,2026,16.00532637586862
GLOBAL,MINCOGMDV,1,2027,12.770059256789217
GLOBAL,MINCOGMDV,1,2028,12.221781683311635
GLOBAL,MINCOGMDV,1,2029,11.67350410983405
GLOBAL,MINCOGMDV,1,2030,11.125226536356468
GLOBAL,MINCOGMDV,1,2031,10.576948962878884
GLOBAL,MINCOGMDV,1,2032,10.0286713894013
GLOBAL,MINCOGMDV,1,2033,9.480393815923717
GLOBAL,MINCOGMDV,1,2034,8.932116242446135
GLOBAL,MINCOGMDV,1,2035,8.38383866896855
GLOBAL,MINCOGMDV,1,2036,8.470338591743623
GLOBAL,MINCOGMDV,1,2037,8.556838514518697
GLOBAL,MINCOGMDV,1,2038,8.643338437293767
GLOBAL,MINCOGMDV,1,2039,8.729838360068841
GLOBAL,MINCOGMDV,1,2040,8.816338282843912
GLOBAL,MINCOGMDV,1,2041,8.902838205618984
GLOBAL,MINCOGMDV,1,2042,8.989338128394056
GLOBAL,MINCOGMDV,1,2043,9.075838051169129
GLOBAL,MINCOGMDV,1,2044,9.162337973944203
GLOBAL,MINCOGMDV,1,2045,9.248837896719273
GLOBAL,MINCOGMDV,1,2046,9.335337819494345
GLOBAL,MINCOGMDV,1,2047,9.42183774226942
GLOBAL,MINCOGMDV,1,2048,9.50833766504449
GLOBAL,MINCOGMDV,1,2049,9.594837587819562
GLOBAL,MINCOGMDV,1,2050,9.681337510594634
GLOBAL,MINCOGNPL,1,2023,17.73081239289668
GLOBAL,MINCOGNPL,1,2024,15.447008874139122
GLOBAL,MINCOGNPL,1,2025,14.109394484067977
GLOBAL,MINCOGNPL,1,2026,18.348963452335095
GLOBAL,MINCOGNPL,1,2027,14.639960790819067
GLOBAL,MINCOGNPL,1,2028,14.011399715510837
GLOBAL,MINCOGNPL,1,2029,13.382838640202607
GLOBAL,MINCOGNPL,1,2030,12.754277564894378
GLOBAL,MINCOGNPL,1,2031,12.125716489586148
GLOBAL,MINCOGNPL,1,2032,11.49715541427792
GLOBAL,MINCOGNPL,1,2033,10.868594338969691
GLOBAL,MINCOGNPL,1,2034,10.240033263661461
GLOBAL,MINCOGNPL,1,2035,9.61147218835323
GLOBAL,MINCOGNPL,1,2036,9.710638171248938
GLOBAL,MINCOGNPL,1,2037,9.809804154144647
GLOBAL,MINCOGNPL,1,2038,9.908970137040354
GLOBAL,MINCOGNPL,1,2039,10.008136119936063
GLOBAL,MINCOGNPL,1,2040,10.10730210283177
GLOBAL,MINCOGNPL,1,2041,10.206468085727478
