sheet,tech,parameter,year,old_value,new_value,delta,source
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2036,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2037,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2038,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2039,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2040,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2041,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2042,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2043,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2044,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2045,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2046,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2047,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2048,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2049,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,ResidualCapacity,2050,0.500000,0.000000,-0.500000,split
Secondary Techs,TRNLKAXXMDVXX,TotalAnnualMinCapacityInvestment,2030,0.000000,0.500000,+0.500000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2023,0.000000,0.040000,+0.040000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2024,0.000000,0.040000,+0.040000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2033,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2034,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2035,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2036,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2037,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2038,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2039,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2040,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2041,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2042,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2043,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2044,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2045,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2046,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2047,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2048,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2049,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,ResidualCapacity,2050,1.040000,0.040000,-1.000000,split
Secondary Techs,TRNNPLXXBGDXX,TotalAnnualMinCapacityInvestment,2033,0.000000,1.000000,+1.000000,split
